Day,Date,Time,Hour,ReadingDateTime,Value,Season
Thu,01/10/2009,00:00,0,01/10/2009 00:00,172.7,S3
Thu,01/10/2009,01:00,1,01/10/2009 01:00,204.7,S3
Thu,01/10/2009,02:00,2,01/10/2009 02:00,115.3,S3
Thu,01/10/2009,03:00,3,01/10/2009 03:00,120.9,S3
Thu,01/10/2009,04:00,4,01/10/2009 04:00,255.10001,S3
Thu,01/10/2009,05:00,5,01/10/2009 05:00,783.79999,S3
Thu,01/10/2009,06:00,6,01/10/2009 06:00,1042,S3
Thu,01/10/2009,07:00,7,01/10/2009 07:00,749.20001,S3
Thu,01/10/2009,08:00,8,01/10/2009 08:00,889.90002,S3
Thu,01/10/2009,09:00,9,01/10/2009 09:00,825,S3
Thu,01/10/2009,10:00,10,01/10/2009 10:00,802.70001,S3
Thu,01/10/2009,11:00,11,01/10/2009 11:00,812.90002,S3
Thu,01/10/2009,12:00,12,01/10/2009 12:00,1248.09998,S3
Thu,01/10/2009,13:00,13,01/10/2009 13:00,1424.59998,S3
Thu,01/10/2009,14:00,14,01/10/2009 14:00,980.09998,S3
Thu,01/10/2009,15:00,15,01/10/2009 15:00,1010,S3
Thu,01/10/2009,16:00,16,01/10/2009 16:00,983.40002,S3
Thu,01/10/2009,17:00,17,01/10/2009 17:00,988.90002,S3
Thu,01/10/2009,18:00,18,01/10/2009 18:00,1025.5,S3
Thu,01/10/2009,19:00,19,01/10/2009 19:00,1393.30005,S3
Thu,01/10/2009,20:00,20,01/10/2009 20:00,1120.69995,S3
Thu,01/10/2009,21:00,21,01/10/2009 21:00,1199.19995,S3
Thu,01/10/2009,22:00,22,01/10/2009 22:00,1220.90002,S3
Thu,01/10/2009,23:00,23,01/10/2009 23:00,838.20001,S3
Fri,02/10/2009,00:00,0,02/10/2009 00:00,364.70001,S3
Fri,02/10/2009,01:00,1,02/10/2009 01:00,123.8,S3
Fri,02/10/2009,02:00,2,02/10/2009 02:00,137.39999,S3
Fri,02/10/2009,03:00,3,02/10/2009 03:00,165.60001,S3
Fri,02/10/2009,04:00,4,02/10/2009 04:00,272.10001,S3
Fri,02/10/2009,05:00,5,02/10/2009 05:00,635.90002,S3
Fri,02/10/2009,06:00,6,02/10/2009 06:00,1107.90002,S3
Fri,02/10/2009,07:00,7,02/10/2009 07:00,904.79999,S3
Fri,02/10/2009,08:00,8,02/10/2009 08:00,987.20001,S3
Fri,02/10/2009,09:00,9,02/10/2009 09:00,813.70001,S3
Fri,02/10/2009,10:00,10,02/10/2009 10:00,905.5,S3
Fri,02/10/2009,11:00,11,02/10/2009 11:00,881.20001,S3
Fri,02/10/2009,12:00,12,02/10/2009 12:00,,S3
Fri,02/10/2009,13:00,13,02/10/2009 13:00,786.09998,S3
Fri,02/10/2009,14:00,14,02/10/2009 14:00,620.20001,S3
Fri,02/10/2009,15:00,15,02/10/2009 15:00,748.29999,S3
Fri,02/10/2009,16:00,16,02/10/2009 16:00,709.40002,S3
Fri,02/10/2009,17:00,17,02/10/2009 17:00,685.90002,S3
Fri,02/10/2009,18:00,18,02/10/2009 18:00,588.40002,S3
Fri,02/10/2009,19:00,19,02/10/2009 19:00,785.59998,S3
Fri,02/10/2009,20:00,20,02/10/2009 20:00,490.39999,S3
Fri,02/10/2009,21:00,21,02/10/2009 21:00,534.90002,S3
Fri,02/10/2009,22:00,22,02/10/2009 22:00,703.90002,S3
Fri,02/10/2009,23:00,23,02/10/2009 23:00,357.89999,S3
Sat,03/10/2009,00:00,0,03/10/2009 00:00,172.10001,S3
Sat,03/10/2009,01:00,1,03/10/2009 01:00,95.5,S3
Sat,03/10/2009,02:00,2,03/10/2009 02:00,127.1,S3
Sat,03/10/2009,03:00,3,03/10/2009 03:00,148.2,S3
Sat,03/10/2009,04:00,4,03/10/2009 04:00,141.60001,S3
Sat,03/10/2009,05:00,5,03/10/2009 05:00,145.8,S3
Sat,03/10/2009,06:00,6,03/10/2009 06:00,184.2,S3
Sat,03/10/2009,07:00,7,03/10/2009 07:00,313.20001,S3
Sat,03/10/2009,08:00,8,03/10/2009 08:00,594.90002,S3
Sat,03/10/2009,09:00,9,03/10/2009 09:00,435.89999,S3
Sat,03/10/2009,10:00,10,03/10/2009 10:00,315.79999,S3
Sat,03/10/2009,11:00,11,03/10/2009 11:00,339.5,S3
Sat,03/10/2009,12:00,12,03/10/2009 12:00,358.20001,S3
Sat,03/10/2009,13:00,13,03/10/2009 13:00,368.70001,S3
Sat,03/10/2009,14:00,14,03/10/2009 14:00,374.60001,S3
Sat,03/10/2009,15:00,15,03/10/2009 15:00,363.70001,S3
Sat,03/10/2009,16:00,16,03/10/2009 16:00,422,S3
Sat,03/10/2009,17:00,17,03/10/2009 17:00,438.5,S3
Sat,03/10/2009,18:00,18,03/10/2009 18:00,479.20001,S3
Sat,03/10/2009,19:00,19,03/10/2009 19:00,364.20001,S3
Sat,03/10/2009,20:00,20,03/10/2009 20:00,310.39999,S3
Sat,03/10/2009,21:00,21,03/10/2009 21:00,283.29999,S3
Sat,03/10/2009,22:00,22,03/10/2009 22:00,468.60001,S3
Sat,03/10/2009,23:00,23,03/10/2009 23:00,494.89999,S3
Sun,04/10/2009,00:00,0,04/10/2009 00:00,234,S3
Sun,04/10/2009,01:00,1,04/10/2009 01:00,154.2,S3
Sun,04/10/2009,02:00,2,04/10/2009 02:00,139,S3
Sun,04/10/2009,03:00,3,04/10/2009 03:00,155.8,S3
Sun,04/10/2009,04:00,4,04/10/2009 04:00,161.89999,S3
Sun,04/10/2009,05:00,5,04/10/2009 05:00,218.8,S3
Sun,04/10/2009,06:00,6,04/10/2009 06:00,214.2,S3
Sun,04/10/2009,07:00,7,04/10/2009 07:00,256,S3
Sun,04/10/2009,08:00,8,04/10/2009 08:00,463.20001,S3
Sun,04/10/2009,09:00,9,04/10/2009 09:00,566.20001,S3
Sun,04/10/2009,10:00,10,04/10/2009 10:00,465.60001,S3
Sun,04/10/2009,11:00,11,04/10/2009 11:00,420,S3
Sun,04/10/2009,12:00,12,04/10/2009 12:00,423.60001,S3
Sun,04/10/2009,13:00,13,04/10/2009 13:00,538.79999,S3
Sun,04/10/2009,14:00,14,04/10/2009 14:00,447.39999,S3
Sun,04/10/2009,15:00,15,04/10/2009 15:00,421,S3
Sun,04/10/2009,16:00,16,04/10/2009 16:00,345.60001,S3
Sun,04/10/2009,17:00,17,04/10/2009 17:00,502.60001,S3
Sun,04/10/2009,18:00,18,04/10/2009 18:00,504.60001,S3
Sun,04/10/2009,19:00,19,04/10/2009 19:00,488.60001,S3
Sun,04/10/2009,20:00,20,04/10/2009 20:00,438.10001,S3
Sun,04/10/2009,21:00,21,04/10/2009 21:00,342.70001,S3
Sun,04/10/2009,22:00,22,04/10/2009 22:00,357.20001,S3
Sun,04/10/2009,23:00,23,04/10/2009 23:00,328.10001,S3
Mon,05/10/2009,00:00,0,05/10/2009 00:00,266.70001,S3
Mon,05/10/2009,01:00,1,05/10/2009 01:00,142.89999,S3
Mon,05/10/2009,02:00,2,05/10/2009 02:00,144.39999,S3
Mon,05/10/2009,03:00,3,05/10/2009 03:00,189.8,S3
Mon,05/10/2009,04:00,4,05/10/2009 04:00,258.29999,S3
Mon,05/10/2009,05:00,5,05/10/2009 05:00,435,S3
Mon,05/10/2009,06:00,6,05/10/2009 06:00,612.40002,S3
Mon,05/10/2009,07:00,7,05/10/2009 07:00,675.59998,S3
Mon,05/10/2009,08:00,8,05/10/2009 08:00,577.90002,S3
Mon,05/10/2009,09:00,9,05/10/2009 09:00,727.79999,S3
Mon,05/10/2009,10:00,10,05/10/2009 10:00,911.09998,S3
Mon,05/10/2009,11:00,11,05/10/2009 11:00,830.20001,S3
Mon,05/10/2009,12:00,12,05/10/2009 12:00,913.70001,S3
Mon,05/10/2009,13:00,13,05/10/2009 13:00,901,S3
Mon,05/10/2009,14:00,14,05/10/2009 14:00,980.59998,S3
Mon,05/10/2009,15:00,15,05/10/2009 15:00,955.90002,S3
Mon,05/10/2009,16:00,16,05/10/2009 16:00,988.70001,S3
Mon,05/10/2009,17:00,17,05/10/2009 17:00,889.09998,S3
Mon,05/10/2009,18:00,18,05/10/2009 18:00,851.70001,S3
Mon,05/10/2009,19:00,19,05/10/2009 19:00,564.09998,S3
Mon,05/10/2009,20:00,20,05/10/2009 20:00,505.39999,S3
Mon,05/10/2009,21:00,21,05/10/2009 21:00,343.10001,S3
Mon,05/10/2009,22:00,22,05/10/2009 22:00,307.89999,S3
Mon,05/10/2009,23:00,23,05/10/2009 23:00,252.89999,S3
Tue,06/10/2009,00:00,0,06/10/2009 00:00,159.10001,S3
Tue,06/10/2009,01:00,1,06/10/2009 01:00,145.8,S3
Tue,06/10/2009,02:00,2,06/10/2009 02:00,123,S3
Tue,06/10/2009,03:00,3,06/10/2009 03:00,159.10001,S3
Tue,06/10/2009,04:00,4,06/10/2009 04:00,182,S3
Tue,06/10/2009,05:00,5,06/10/2009 05:00,337.5,S3
Tue,06/10/2009,06:00,6,06/10/2009 06:00,592.5,S3
Tue,06/10/2009,07:00,7,06/10/2009 07:00,498.39999,S3
Tue,06/10/2009,08:00,8,06/10/2009 08:00,535.5,S3
Tue,06/10/2009,09:00,9,06/10/2009 09:00,565.90002,S3
Tue,06/10/2009,10:00,10,06/10/2009 10:00,588.40002,S3
Tue,06/10/2009,11:00,11,06/10/2009 11:00,660.20001,S3
Tue,06/10/2009,12:00,12,06/10/2009 12:00,647.70001,S3
Tue,06/10/2009,13:00,13,06/10/2009 13:00,535.90002,S3
Tue,06/10/2009,14:00,14,06/10/2009 14:00,545.5,S3
Tue,06/10/2009,15:00,15,06/10/2009 15:00,442.89999,S3
Tue,06/10/2009,16:00,16,06/10/2009 16:00,585.5,S3
Tue,06/10/2009,17:00,17,06/10/2009 17:00,508.20001,S3
Tue,06/10/2009,18:00,18,06/10/2009 18:00,479.29999,S3
Tue,06/10/2009,19:00,19,06/10/2009 19:00,396.29999,S3
Tue,06/10/2009,20:00,20,06/10/2009 20:00,254.8,S3
Tue,06/10/2009,21:00,21,06/10/2009 21:00,324.70001,S3
Tue,06/10/2009,22:00,22,06/10/2009 22:00,231.7,S3
Tue,06/10/2009,23:00,23,06/10/2009 23:00,205.39999,S3
Wed,07/10/2009,00:00,0,07/10/2009 00:00,82.6,S3
Wed,07/10/2009,01:00,1,07/10/2009 01:00,67.3,S3
Wed,07/10/2009,02:00,2,07/10/2009 02:00,71.5,S3
Wed,07/10/2009,03:00,3,07/10/2009 03:00,72.9,S3
Wed,07/10/2009,04:00,4,07/10/2009 04:00,138.89999,S3
Wed,07/10/2009,05:00,5,07/10/2009 05:00,514.20001,S3
Wed,07/10/2009,06:00,6,07/10/2009 06:00,960,S3
Wed,07/10/2009,07:00,7,07/10/2009 07:00,875.90002,S3
Wed,07/10/2009,08:00,8,07/10/2009 08:00,1183.30005,S3
Wed,07/10/2009,09:00,9,07/10/2009 09:00,755.20001,S3
Wed,07/10/2009,10:00,10,07/10/2009 10:00,662.40002,S3
Wed,07/10/2009,11:00,11,07/10/2009 11:00,675,S3
Wed,07/10/2009,12:00,12,07/10/2009 12:00,437.5,S3
Wed,07/10/2009,13:00,13,07/10/2009 13:00,620.40002,S3
Wed,07/10/2009,14:00,14,07/10/2009 14:00,589.40002,S3
Wed,07/10/2009,15:00,15,07/10/2009 15:00,628.59998,S3
Wed,07/10/2009,16:00,16,07/10/2009 16:00,691.09998,S3
Wed,07/10/2009,17:00,17,07/10/2009 17:00,442.20001,S3
Wed,07/10/2009,18:00,18,07/10/2009 18:00,411.89999,S3
Wed,07/10/2009,19:00,19,07/10/2009 19:00,555.90002,S3
Wed,07/10/2009,20:00,20,07/10/2009 20:00,320.29999,S3
Wed,07/10/2009,21:00,21,07/10/2009 21:00,469,S3
Wed,07/10/2009,22:00,22,07/10/2009 22:00,369.79999,S3
Wed,07/10/2009,23:00,23,07/10/2009 23:00,348.5,S3
Thu,08/10/2009,00:00,0,08/10/2009 00:00,163,S3
Thu,08/10/2009,01:00,1,08/10/2009 01:00,116.8,S3
Thu,08/10/2009,02:00,2,08/10/2009 02:00,132.7,S3
Thu,08/10/2009,03:00,3,08/10/2009 03:00,213.10001,S3
Thu,08/10/2009,04:00,4,08/10/2009 04:00,431.29999,S3
Thu,08/10/2009,05:00,5,08/10/2009 05:00,1080.09998,S3
Thu,08/10/2009,06:00,6,08/10/2009 06:00,1417.59998,S3
Thu,08/10/2009,07:00,7,08/10/2009 07:00,858.29999,S3
Thu,08/10/2009,08:00,8,08/10/2009 08:00,1069.80005,S3
Thu,08/10/2009,09:00,9,08/10/2009 09:00,1029.09998,S3
Thu,08/10/2009,10:00,10,08/10/2009 10:00,1334.90002,S3
Thu,08/10/2009,11:00,11,08/10/2009 11:00,1098.30005,S3
Thu,08/10/2009,12:00,12,08/10/2009 12:00,765.5,S3
Thu,08/10/2009,13:00,13,08/10/2009 13:00,687.5,S3
Thu,08/10/2009,14:00,14,08/10/2009 14:00,547.90002,S3
Thu,08/10/2009,15:00,15,08/10/2009 15:00,855.09998,S3
Thu,08/10/2009,16:00,16,08/10/2009 16:00,637.09998,S3
Thu,08/10/2009,17:00,17,08/10/2009 17:00,827.59998,S3
Thu,08/10/2009,18:00,18,08/10/2009 18:00,832.79999,S3
