Day,Date,Time,Hour,ReadingDateTime,Value,Season
Thu,01/10/2009,00:00,0,01/10/2009 00:00,44.9,S3
Thu,01/10/2009,01:00,1,01/10/2009 01:00,33.5,S3
Thu,01/10/2009,02:00,2,01/10/2009 02:00,23.7,S3
Thu,01/10/2009,03:00,3,01/10/2009 03:00,15.1,S3
Thu,01/10/2009,04:00,4,01/10/2009 04:00,12.2,S3
Thu,01/10/2009,05:00,5,01/10/2009 05:00,19.4,S3
Thu,01/10/2009,06:00,6,01/10/2009 06:00,32.2,S3
Thu,01/10/2009,07:00,7,01/10/2009 07:00,98.4,S3
Thu,01/10/2009,08:00,8,01/10/2009 08:00,55.8,S3
Thu,01/10/2009,09:00,9,01/10/2009 09:00,40.2,S3
Thu,01/10/2009,10:00,10,01/10/2009 10:00,45.5,S3
Thu,01/10/2009,11:00,11,01/10/2009 11:00,15.1,S3
Thu,01/10/2009,12:00,12,01/10/2009 12:00,29.4,S3
Thu,01/10/2009,13:00,13,01/10/2009 13:00,21.3,S3
Thu,01/10/2009,14:00,14,01/10/2009 14:00,17.5,S3
Thu,01/10/2009,15:00,15,01/10/2009 15:00,15.6,S3
Thu,01/10/2009,16:00,16,01/10/2009 16:00,20.4,S3
Thu,01/10/2009,17:00,17,01/10/2009 17:00,30.3,S3
Thu,01/10/2009,18:00,18,01/10/2009 18:00,53.5,S3
Thu,01/10/2009,19:00,19,01/10/2009 19:00,76.7,S3
Thu,01/10/2009,20:00,20,01/10/2009 20:00,125.4,S3
Thu,01/10/2009,21:00,21,01/10/2009 21:00,48.8,S3
Thu,01/10/2009,22:00,22,01/10/2009 22:00,35.5,S3
Thu,01/10/2009,23:00,23,01/10/2009 23:00,30.3,S3
Fri,02/10/2009,00:00,0,02/10/2009 00:00,39.1,S3
Fri,02/10/2009,01:00,1,02/10/2009 01:00,34,S3
Fri,02/10/2009,02:00,2,02/10/2009 02:00,34.1,S3
Fri,02/10/2009,03:00,3,02/10/2009 03:00,36.9,S3
Fri,02/10/2009,04:00,4,02/10/2009 04:00,29.3,S3
Fri,02/10/2009,05:00,5,02/10/2009 05:00,36.9,S3
Fri,02/10/2009,06:00,6,02/10/2009 06:00,50.2,S3
Fri,02/10/2009,07:00,7,02/10/2009 07:00,45.4,S3
Fri,02/10/2009,08:00,8,02/10/2009 08:00,40.3,S3
Fri,02/10/2009,09:00,9,02/10/2009 09:00,42.6,S3
Fri,02/10/2009,10:00,10,02/10/2009 10:00,29.4,S3
Fri,02/10/2009,11:00,11,02/10/2009 11:00,14.2,S3
Fri,02/10/2009,12:00,12,02/10/2009 12:00,11.8,S3
Fri,02/10/2009,13:00,13,02/10/2009 13:00,10.4,S3
Fri,02/10/2009,14:00,14,02/10/2009 14:00,12.2,S3
Fri,02/10/2009,15:00,15,02/10/2009 15:00,12.2,S3
Fri,02/10/2009,16:00,16,02/10/2009 16:00,17,S3
Fri,02/10/2009,17:00,17,02/10/2009 17:00,26.6,S3
Fri,02/10/2009,18:00,18,02/10/2009 18:00,29.4,S3
Fri,02/10/2009,19:00,19,02/10/2009 19:00,27.4,S3
Fri,02/10/2009,20:00,20,02/10/2009 20:00,24.7,S3
Fri,02/10/2009,21:00,21,02/10/2009 21:00,22.8,S3
Fri,02/10/2009,22:00,22,02/10/2009 22:00,17.5,S3
Fri,02/10/2009,23:00,23,02/10/2009 23:00,10.4,S3
Sat,03/10/2009,00:00,0,03/10/2009 00:00,13.2,S3
Sat,03/10/2009,01:00,1,03/10/2009 01:00,12.6,S3
