Day,Date,Time,Hour,ReadingDateTime,Value,Season
Fri,01/02/2013,00:00,0,01/02/2013 00:00,,S4
Fri,01/02/2013,01:00,1,01/02/2013 01:00,,S4
Fri,01/02/2013,02:00,2,01/02/2013 02:00,,S4
Fri,01/02/2013,03:00,3,01/02/2013 03:00,,S4
Fri,01/02/2013,04:00,4,01/02/2013 04:00,,S4
Fri,01/02/2013,05:00,5,01/02/2013 05:00,,S4
Fri,01/02/2013,06:00,6,01/02/2013 06:00,,S4
Fri,01/02/2013,07:00,7,01/02/2013 07:00,,S4
Fri,01/02/2013,08:00,8,01/02/2013 08:00,,S4
Fri,01/02/2013,09:00,9,01/02/2013 09:00,,S4
Fri,01/02/2013,10:00,10,01/02/2013 10:00,,S4
Fri,01/02/2013,11:00,11,01/02/2013 11:00,,S4
Fri,01/02/2013,12:00,12,01/02/2013 12:00,,S4
Fri,01/02/2013,13:00,13,01/02/2013 13:00,,S4
Fri,01/02/2013,14:00,14,01/02/2013 14:00,,S4
Fri,01/02/2013,15:00,15,01/02/2013 15:00,,S4
Fri,01/02/2013,16:00,16,01/02/2013 16:00,,S4
Fri,01/02/2013,17:00,17,01/02/2013 17:00,,S4
Fri,01/02/2013,18:00,18,01/02/2013 18:00,,S4
Fri,01/02/2013,19:00,19,01/02/2013 19:00,,S4
Fri,01/02/2013,20:00,20,01/02/2013 20:00,,S4
Fri,01/02/2013,21:00,21,01/02/2013 21:00,,S4
Fri,01/02/2013,22:00,22,01/02/2013 22:00,,S4
Fri,01/02/2013,23:00,23,01/02/2013 23:00,,S4
Sat,02/02/2013,00:00,0,02/02/2013 00:00,,S4
Sat,02/02/2013,01:00,1,02/02/2013 01:00,,S4
Sat,02/02/2013,02:00,2,02/02/2013 02:00,,S4
Sat,02/02/2013,03:00,3,02/02/2013 03:00,,S4
Sat,02/02/2013,04:00,4,02/02/2013 04:00,,S4
Sat,02/02/2013,05:00,5,02/02/2013 05:00,,S4
Sat,02/02/2013,06:00,6,02/02/2013 06:00,,S4
Sat,02/02/2013,07:00,7,02/02/2013 07:00,,S4
Sat,02/02/2013,08:00,8,02/02/2013 08:00,,S4
Sat,02/02/2013,09:00,9,02/02/2013 09:00,,S4
Sat,02/02/2013,10:00,10,02/02/2013 10:00,,S4
Sat,02/02/2013,11:00,11,02/02/2013 11:00,,S4
Sat,02/02/2013,12:00,12,02/02/2013 12:00,,S4
Sat,02/02/2013,13:00,13,02/02/2013 13:00,,S4
Sat,02/02/2013,14:00,14,02/02/2013 14:00,,S4
Sat,02/02/2013,15:00,15,02/02/2013 15:00,,S4
Sat,02/02/2013,16:00,16,02/02/2013 16:00,,S4
Sat,02/02/2013,17:00,17,02/02/2013 17:00,,S4
Sat,02/02/2013,18:00,18,02/02/2013 18:00,,S4
Sat,02/02/2013,19:00,19,02/02/2013 19:00,,S4
Sat,02/02/2013,20:00,20,02/02/2013 20:00,,S4
Sat,02/02/2013,21:00,21,02/02/2013 21:00,,S4
Sat,02/02/2013,22:00,22,02/02/2013 22:00,,S4
Sat,02/02/2013,23:00,23,02/02/2013 23:00,,S4
Sun,03/02/2013,00:00,0,03/02/2013 00:00,,S4
Sun,03/02/2013,01:00,1,03/02/2013 01:00,,S4
Sun,03/02/2013,02:00,2,03/02/2013 02:00,,S4
Sun,03/02/2013,03:00,3,03/02/2013 03:00,,S4
Sun,03/02/2013,04:00,4,03/02/2013 04:00,,S4
Sun,03/02/2013,05:00,5,03/02/2013 05:00,,S4
Sun,03/02/2013,06:00,6,03/02/2013 06:00,,S4
Sun,03/02/2013,07:00,7,03/02/2013 07:00,,S4
Sun,03/02/2013,08:00,8,03/02/2013 08:00,,S4
Sun,03/02/2013,09:00,9,03/02/2013 09:00,,S4
Sun,03/02/2013,10:00,10,03/02/2013 10:00,,S4
Sun,03/02/2013,11:00,11,03/02/2013 11:00,,S4
Sun,03/02/2013,12:00,12,03/02/2013 12:00,,S4
Sun,03/02/2013,13:00,13,03/02/2013 13:00,,S4
Sun,03/02/2013,14:00,14,03/02/2013 14:00,,S4
Sun,03/02/2013,15:00,15,03/02/2013 15:00,,S4
Sun,03/02/2013,16:00,16,03/02/2013 16:00,,S4
Sun,03/02/2013,17:00,17,03/02/2013 17:00,,S4
Sun,03/02/2013,18:00,18,03/02/2013 18:00,,S4
Sun,03/02/2013,19:00,19,03/02/2013 19:00,,S4
Sun,03/02/2013,20:00,20,03/02/2013 20:00,,S4
Sun,03/02/2013,21:00,21,03/02/2013 21:00,,S4
Sun,03/02/2013,22:00,22,03/02/2013 22:00,,S4
Sun,03/02/2013,23:00,23,03/02/2013 23:00,,S4
Mon,04/02/2013,00:00,0,04/02/2013 00:00,,S4
Mon,04/02/2013,01:00,1,04/02/2013 01:00,,S4
Mon,04/02/2013,02:00,2,04/02/2013 02:00,,S4
Mon,04/02/2013,03:00,3,04/02/2013 03:00,,S4
Mon,04/02/2013,04:00,4,04/02/2013 04:00,,S4
Mon,04/02/2013,05:00,5,04/02/2013 05:00,,S4
Mon,04/02/2013,06:00,6,04/02/2013 06:00,,S4
Mon,04/02/2013,07:00,7,04/02/2013 07:00,,S4
Mon,04/02/2013,08:00,8,04/02/2013 08:00,,S4
Mon,04/02/2013,09:00,9,04/02/2013 09:00,,S4
Mon,04/02/2013,10:00,10,04/02/2013 10:00,,S4
Mon,04/02/2013,11:00,11,04/02/2013 11:00,,S4
Mon,04/02/2013,12:00,12,04/02/2013 12:00,,S4
Mon,04/02/2013,13:00,13,04/02/2013 13:00,,S4
Mon,04/02/2013,14:00,14,04/02/2013 14:00,,S4
Mon,04/02/2013,15:00,15,04/02/2013 15:00,,S4
Mon,04/02/2013,16:00,16,04/02/2013 16:00,,S4
Mon,04/02/2013,17:00,17,04/02/2013 17:00,,S4
Mon,04/02/2013,18:00,18,04/02/2013 18:00,,S4
Mon,04/02/2013,19:00,19,04/02/2013 19:00,,S4
Mon,04/02/2013,20:00,20,04/02/2013 20:00,,S4
Mon,04/02/2013,21:00,21,04/02/2013 21:00,,S4
Mon,04/02/2013,22:00,22,04/02/2013 22:00,,S4
Mon,04/02/2013,23:00,23,04/02/2013 23:00,,S4
Tue,05/02/2013,00:00,0,05/02/2013 00:00,,S4
Tue,05/02/2013,01:00,1,05/02/2013 01:00,,S4
Tue,05/02/2013,02:00,2,05/02/2013 02:00,,S4
Tue,05/02/2013,03:00,3,05/02/2013 03:00,,S4
Tue,05/02/2013,04:00,4,05/02/2013 04:00,,S4
Tue,05/02/2013,05:00,5,05/02/2013 05:00,,S4
Tue,05/02/2013,06:00,6,05/02/2013 06:00,,S4
Tue,05/02/2013,07:00,7,05/02/2013 07:00,,S4
Tue,05/02/2013,08:00,8,05/02/2013 08:00,,S4
Tue,05/02/2013,09:00,9,05/02/2013 09:00,,S4
Tue,05/02/2013,10:00,10,05/02/2013 10:00,,S4
Tue,05/02/2013,11:00,11,05/02/2013 11:00,,S4
Tue,05/02/2013,12:00,12,05/02/2013 12:00,,S4
Tue,05/02/2013,13:00,13,05/02/2013 13:00,,S4
Tue,05/02/2013,14:00,14,05/02/2013 14:00,,S4
Tue,05/02/2013,15:00,15,05/02/2013 15:00,,S4
Tue,05/02/2013,16:00,16,05/02/2013 16:00,,S4
Tue,05/02/2013,17:00,17,05/02/2013 17:00,,S4
Tue,05/02/2013,18:00,18,05/02/2013 18:00,,S4
Tue,05/02/2013,19:00,19,05/02/2013 19:00,,S4
Tue,05/02/2013,20:00,20,05/02/2013 20:00,,S4
Tue,05/02/2013,21:00,21,05/02/2013 21:00,,S4
Tue,05/02/2013,22:00,22,05/02/2013 22:00,,S4
Tue,05/02/2013,23:00,23,05/02/2013 23:00,,S4
Wed,06/02/2013,00:00,0,06/02/2013 00:00,,S4
Wed,06/02/2013,01:00,1,06/02/2013 01:00,,S4
Wed,06/02/2013,02:00,2,06/02/2013 02:00,,S4
Wed,06/02/2013,03:00,3,06/02/2013 03:00,,S4
Wed,06/02/2013,04:00,4,06/02/2013 04:00,,S4
Wed,06/02/2013,05:00,5,06/02/2013 05:00,,S4
Wed,06/02/2013,06:00,6,06/02/2013 06:00,,S4
Wed,06/02/2013,07:00,7,06/02/2013 07:00,,S4
Wed,06/02/2013,08:00,8,06/02/2013 08:00,,S4
Wed,06/02/2013,09:00,9,06/02/2013 09:00,,S4
Wed,06/02/2013,10:00,10,06/02/2013 10:00,,S4
Wed,06/02/2013,11:00,11,06/02/2013 11:00,,S4
Wed,06/02/2013,12:00,12,06/02/2013 12:00,,S4
Wed,06/02/2013,13:00,13,06/02/2013 13:00,,S4
Wed,06/02/2013,14:00,14,06/02/2013 14:00,,S4
Wed,06/02/2013,15:00,15,06/02/2013 15:00,,S4
Wed,06/02/2013,16:00,16,06/02/2013 16:00,,S4
Wed,06/02/2013,17:00,17,06/02/2013 17:00,,S4
Wed,06/02/2013,18:00,18,06/02/2013 18:00,,S4
Wed,06/02/2013,19:00,19,06/02/2013 19:00,,S4
Wed,06/02/2013,20:00,20,06/02/2013 20:00,,S4
Wed,06/02/2013,21:00,21,06/02/2013 21:00,,S4
Wed,06/02/2013,22:00,22,06/02/2013 22:00,,S4
Wed,06/02/2013,23:00,23,06/02/2013 23:00,,S4
Thu,07/02/2013,00:00,0,07/02/2013 00:00,,S4
Thu,07/02/2013,01:00,1,07/02/2013 01:00,,S4
Thu,07/02/2013,02:00,2,07/02/2013 02:00,,S4
Thu,07/02/2013,03:00,3,07/02/2013 03:00,,S4
Thu,07/02/2013,04:00,4,07/02/2013 04:00,,S4
Thu,07/02/2013,05:00,5,07/02/2013 05:00,,S4
Thu,07/02/2013,06:00,6,07/02/2013 06:00,,S4
Thu,07/02/2013,07:00,7,07/02/2013 07:00,,S4
Thu,07/02/2013,08:00,8,07/02/2013 08:00,,S4
Thu,07/02/2013,09:00,9,07/02/2013 09:00,,S4
Thu,07/02/2013,10:00,10,07/02/2013 10:00,,S4
Thu,07/02/2013,11:00,11,07/02/2013 11:00,,S4
Thu,07/02/2013,12:00,12,07/02/2013 12:00,,S4
Thu,07/02/2013,13:00,13,07/02/2013 13:00,,S4
Thu,07/02/2013,14:00,14,07/02/2013 14:00,,S4
Thu,07/02/2013,15:00,15,07/02/2013 15:00,,S4
Thu,07/02/2013,16:00,16,07/02/2013 16:00,,S4
Thu,07/02/2013,17:00,17,07/02/2013 17:00,,S4
Thu,07/02/2013,18:00,18,07/02/2013 18:00,,S4
Thu,07/02/2013,19:00,19,07/02/2013 19:00,,S4
Thu,07/02/2013,20:00,20,07/02/2013 20:00,,S4
Thu,07/02/2013,21:00,21,07/02/2013 21:00,,S4
Thu,07/02/2013,22:00,22,07/02/2013 22:00,,S4
Thu,07/02/2013,23:00,23,07/02/2013 23:00,,S4
Fri,08/02/2013,00:00,0,08/02/2013 00:00,,S4
Fri,08/02/2013,01:00,1,08/02/2013 01:00,,S4
Fri,08/02/2013,02:00,2,08/02/2013 02:00,,S4
Fri,08/02/2013,03:00,3,08/02/2013 03:00,,S4
Fri,08/02/2013,04:00,4,08/02/2013 04:00,,S4
Fri,08/02/2013,05:00,5,08/02/2013 05:00,,S4
Fri,08/02/2013,06:00,6,08/02/2013 06:00,,S4
Fri,08/02/2013,07:00,7,08/02/2013 07:00,,S4
Fri,08/02/2013,08:00,8,08/02/2013 08:00,,S4
Fri,08/02/2013,09:00,9,08/02/2013 09:00,,S4
Fri,08/02/2013,10:00,10,08/02/2013 10:00,,S4
Fri,08/02/2013,11:00,11,08/02/2013 11:00,,S4
Fri,08/02/2013,12:00,12,08/02/2013 12:00,,S4
